Business,HIC #,Expiration,Phone,Address,City,State,Zip,,Worker
Q&S renovations Llc,PA155517,2/14/2026,856-580-1214,580 s goddard bulv,King of Prussia,PA,19406,,Asim
"Quillen Contracting, Inc",PA102588,08/07/2025,484-754-6943,241 Boro Line rd,King of Prussia,PA,19406,,Asim
"Quillen Contracting, Inc",PA102588,08/07/2025,484-754-6943,241 Boro Line Rd,King of Prussia,PA,19406,,Asim
"Quillen Contracting, Inc",PA102588,08/07/2025,484-754-6943,513 Keebler Rd,King of Prussia,PA,19406,,Asim
R K Remodeling   LLC,PA102659,08/11/2025,717-468-2218,555 south Goddard Blvd  apt. 309,King of Prussia,PA,19406,,Asim
Radical Renovations LLC,PA107506,04/05/2026,610-504-9611,653 S. Gulph Road,King of Prussia,PA,19406,,Asim
Restore Core Inc,PA002162,07/01/2025,610-992-9100,650 Clark Avenue,King of Prussia,PA,19406,,Asim
"Reynolds Restoration Services, Inc.",PA020059,11/27/2025,888-277-8280,780 5th Avenue,King of Prussia,PA,19406,,Asim
Richard A Martin & son Electric and General Contracting LLC,PA045423,09/10/2026,610-992-0118,610-992-0118,King of Prussia,PA,19406,,Asim
Robert Trott,PA089113,2/23/2026,610-517-7862,122 Hamlet Drive,King of Prussia,PA,19406,,Asim
Roberto's Home Improvements,PA091056,05/03/2026,610-324-4087,138 Rebel Road,King of Prussia,PA,19406,,Asim
Robins Contractors LLC,PA198109,1/13/2027,445-895-1666,1150 First Ave,King of Prussia,PA,19406,,Asim
Robinson Export and Import Corporation,PA159516,10/05/2026,703-256-6400,3602 Horizon Drive,King of Prussia,PA,19406,,Asim
Rock Services Inc,PA103590,9/19/2025,215-809-1630,176 Hughes Rd,King of Prussia,PA,19406,,Asim
Ross Electrical Construction Company,PA017793,10/24/2025,610-636-4638,351 Riverview Rd,King of Prussia,PA,19406,,Asim
"RUPPERT LANDSCAPE, LLC",PA195737,9/25/2026,301-482-0300,320 Crooked Lane,King of Prussia,PA,19406,,Asim
Russen Brothers Construction Inc.,PA075656,12/24/2026,610-496-8730,703 Jonathan Drive,King of Prussia,PA,19406,,Asim
Salvatore DePalma,PA049795,7/15/2026,215-338-4098,3000 Valley Forge Circle Apt 644,King of Prussia,PA,19406,,Asim
Samra Facilities Inc,PA168340,3/30/2026,215-774-9808,630 Freedom Business Center 3rd Floor,King of Prussia,PA,19406,,Asim
Scavello And Sons,PA147342,8/17/2025,610-803-7613,198 Johanna drive,King of Prussia,PA,19406,,Asim
"SEA-Z, L.L.C.",PA107182,4/17/2026,610-337-2250,1020 W 8th Avenue,King of Prussia,PA,19406,,Asim
"Sellmoor, LLC DBA/ Family Remodeling Group",PA195832,9/28/2026,856-577-8951,840 1st Ave,King of Prussia,PA,19406,,Asim
Sevi Construction Company LLC,PA194987,8/26/2026,610-482-2854,840 1st Avenue,King of Prussia,PA,19406,,Asim
"Shreiner Tree Care Specialists, Inc. DBA Shreiner Tree Care",PA119693,10/02/2025,610-265-6004,334 S. Henderson Rd.,King of Prussia,PA,19406,,Asim
"Sila Services, LLC",PA157598,7/17/2026,610-491-9400,290 Hansen Access Road,King of Prussia,PA,19406,,Asim
"Sila Services, LLC",PA157598,7/17/2026,610-491-9409,900 E 8th Ave,King of Prussia,PA,19406,,Asim
Sinacom North America Inc,PA104146,10/25/2025,610-657-4194,1020 W 8th Avenue,King of Prussia,PA,19406,,Asim
Soster Construction,PA193011,06/05/2026,267-904-6003,101 Tyler rd.,King of Prussia,PA,19406,,Asim
"Sovereign Distributors, Inc.",PA003758,7/14/2025,856-489-8520,316 S. Henderson Road,King of Prussia,PA,19406,,Asim
Spruce Contracting LLC,PA148584,9/22/2025,267-824-0051,1150 1st Ave Suite 511,King of Prussia,PA,19406,,Asim
"Steelway Cellar Doors, LLC",PA016365,07/12/2025,610-277-9988,610-277-1440,King of Prussia,PA,19406,,Asim
"Stewart Contractors, LLC",PA188437,01/02/2026,610-920-9449,215 Garfield Rd,King of Prussia,PA,19406,,Asim
STONEBRIDGE GRANITE & QUARTZ LLC,PA193056,06/07/2026,610-324-4706,545 HANSEN RD,King of Prussia,PA,19406,,Asim
Superior Solar Design LLC,PA109801,7/28/2026,610-456-7069,"314 S. Henderson Road, Suite G#350, King of Prussi",King of Prussia,PA,19406,,Asim
"SWEDESBURG PLUMBING & HEATING, INC.",PA010220,10/06/2025,484-614-5824,244 Anthony Road,King of Prussia,PA,19406,,Asim
Tankless Industries LLC,PA077316,9/22/2025,484-319-6068,"314 S Henderson Rd, Suite 337",King of Prussia,PA,19406,,Asim
"The Alpha Company, LLC",PA153899,02/03/2026,570-399-3561,1150 First Ave.,King of Prussia,PA,19406,,Asim
The Davey Tree Expert Company,PA014068,08/01/2025,330-673-9511,131 East Church Road,King of Prussia,PA,19406,,Asim
"The JLG Company, LLC",PA159890,10/19/2026,610-316-6325,565 Hansen Rd,King of Prussia,PA,19406,,Asim
Tims Tree Care LLC,PA118110,1/29/2027,215-353-1382,220 E. Dekalb Pk.,King of Prussia,PA,19406,,Asim
"TM Landscape, Inc.",PA145961,8/30/2025,215-933-8828,580 S Goddard Blvd,King of Prussia,PA,19406,,Asim
"Today's Bath Systems, Inc",PA071288,4/16/2026,609-207-9587,630 Freedom Business Center,King of Prussia,PA,19406,,Asim
Tom Heslin Electrical Contractor,PA066409,8/22/2026,610-547-6622,416 Hillview Road,King of Prussia,PA,19406,,Asim
Tree Craft LLC,PA183314,5/30/2025,610-525-1818,181 greenhill rd,King of Prussia,PA,19406,,Asim
Valley Forge Building Contractors,PA010587,11/07/2025,610-745-3338,598 Prince Frederick Street,King of Prussia,PA,19406,,Asim
ValleyForgeProperties.com LLC,PA167813,12/22/2026,610-500-3385,314 S Henderson Rd St G 126#,King of Prussia,PA,19406,,Asim
ValleyForgeProperties.com LLC,PA167813,12/22/2026,610-500-3385,"314 S Henderson Rd, Ste G 157  #126",King of Prussia,PA,19406,,Asim
Vivid Flooring & Design LLC,PA190837,3/25/2026,267-916-2994,301 Village Drive,King of Prussia,PA,19406,,Asim
"Wayne Carmint Landscaping, Inc.",PA132713,06/08/2025,610-265-0123,220 E DeKalb Pike,King of Prussia,PA,19406,,Asim
Welcome Home Services,PA185096,08/07/2025,267-549-7775,265 south gulph road,King of Prussia,PA,19406,,Asim
William Heister Plumbing,PA188639,01/09/2026,215-584-5668,497 General Armstrong rd,King of Prussia,PA,19406,,Asim
YUNO INC,PA187832,11/30/2025,267-242-1523,302 W Valley Forge Rd,King of Prussia,PA,19406,,Asim
Z Finish Carpentry,PA191354,04/09/2026,610-724-8951,110 Crossfield Rd,King of Prussia,PA,19406,,Asim
121 Properties LLC,PA143271,10/07/2026,484-274-3696,21 East 4th Ave,Conshohocken,PA,19428,,Asim
20 Shades of Green,PA086467,11/09/2025,610-513-1735,112 Josephine Ave,West Conshohocken,PA,19428,,Asim
A&R Home Services LLC,PA198730,02/06/2027,215-913-0465,34 Corson Road,Conshohocken,PA,19428,,Asim
ABBOTT PLUMBING AND HEATING,PA017460,1/22/2026,610-476-1148,20 TAYLOR RD.,CONSHOHOCKEN,PA,19428,,Asim
Affordable Paving Sealcoating LLC,PA120126,06/04/2026,610-333-3310,237 Spring Mill Ave,Conshohocken,PA,19428,,Asim
AMR Construction Inc. t/a Rufo Contracting,PA011024,7/31/2025,610-834-7500,441 E Hector Street,Conshohocken,PA,19428,,Asim
Anchor Management Group,PA140927,1/22/2027,610-276-9302,1000 Conshohocken Road,Conshohocken,PA,19428,,Asim
Anchor Management Group,PA140927,1/22/2027,610-276-9303,1000 Conshohocken Road,Conshohocken,PA,19428,,Asim
Andrew Borstein,PA162559,12/14/2025,216-262-9841,31 Corson Rd,Conshohocken,PA,19428,,Asim
Angelo's Cleaning Inc.,PA090645,04/08/2026,610-265-5116,124 E. Hector st,Conshohocken,PA,19428,,Asim
Aspect Painting LLC dba Aspect Contracting,PA078422,4/25/2026,267-820-9265,1950 Butler Pike,Conshohocken,PA,19428,,Asim
Audax Homes LLC,PA138102,2/28/2026,267-454-6922,101 West Elm Street,Conshohocken,PA,19428,,Asim
B.H. Holdings Corporation,PA074939,11/29/2026,215-843-9290,1516 Butler Pike,Conshohocken,PA,19428,,Asim
Baha Stump Grinders,PA168492,1/20/2026,267-478-8677,1740 Butler Pike,Conshohocken,PA,19428,,Asim
Beaver Guard LLC.,PA191290,04/07/2026,610-991-8686,720 Fayette St,Conshohocken,PA,19428,,Asim
Belles Electrical Contractors LLC,PA151919,10/24/2025,610-831-1232,1050 Colwell Lane,Conshohocken,PA,19428,,Asim
Borkowski Homes,PA128102,2/25/2027,610-637-2566,1301 Fayette Street,Conshohocken,PA,19428,,Asim
C.W. Masonry/landscaping,PA151404,04/06/2026,610-551-6954,224 east 5th ave,Conshohocken,PA,19428,,Asim
"Caledonia Builders, Inc.",PA144027,11/10/2026,215-768-8484,1009 Jones Road,Conshohocken,PA,19428,,Asim
Carl J.  Wendler  HVAC Inc.,PA042501,9/13/2026,610-834-0614,103 Center st.,Conshohocken,PA,19428,,Asim
Catania Concrete LLC,PA075277,4/26/2026,484-368-7478,137 West 7th Avenue,Conshohocken,PA,19428,,Asim
Cervone Contracting,PA050333,11/11/2026,610-715-4864,323 E north ln.,Conshohocken,PA,19428,,Asim
Chloe Jayne Properties LLC,PA168358,06/12/2026,484-368-7478,137 W 7th Ave,Conshohocken,PA,19428,,Asim
Clarence M. Flood dba Flash Flood HVAC,PA106753,11/08/2026,484-929-0328,201 Maple Street,Conshohocken,PA,19428,,Asim
Cleantech Of Philadelphia,PA012018,1/16/2027,484-530-0600,484-530-9111,Conshohocken,PA,19428,,Asim
CNI Renovations llc,PA190727,3/21/2026,445-280-0308,1095 new Dehaven st,Conshohocken,PA,19428,,Asim
Conshohocken Construction Inc.,PA013574,1/31/2026,610-637-1497,310 W. 12th Ave.,Conshohocken,PA,19428,,Asim
Craig Service Group,PA128793,12/26/2025,215-791-3700,1423 colwell alne,Conshohocken,PA,19428,,Asim
Craig Service Group,PA128793,12/26/2025,267-665-0309,263 E. Elm Street,Conshohocken,PA,19428,,Asim
"D&M Electrical Services, Inc.",PA091857,11/20/2025,610-825-4765,753 Conshohocken Road,Conshohocken,PA,19428,,Asim
"D.E. Duffey & Sons, Inc.",PA001895,10/23/2025,610-940-1400,1982 Butler Pike,Conshohocken,PA,19428,,Asim
D2 Contracting llc,PA180347,2/20/2027,215-629-6172,"815 Fayette St, STE 200",Conshohocken,PA,19428,,Asim
DAVID J. PIZZICO CONTRACTOR,PA023363,12/08/2025,610-825-7938,333 SUMMIT AVENUE,Conshohocken,PA,19428,,Asim
David Petrucelli Carpentry/Contractor,PA092682,7/13/2026,610-825-5652,1978 Main Ave.,Conshohocken,PA,19428,,Asim
DC Home Services,PA176732,9/13/2026,484-535-2664,216 Barren Hill Road,Conshohocken,PA,19428,,Asim
"Designs by Mitchel, LLC",PA126999,9/26/2026,484-808-5711,902 Matsonford Road,Conshohocken,PA,19428,,Asim
"DeStefano Electric, LLC",PA055068,10/03/2025,610-825-1038,104 josephine avenue,Conshohocken,PA,19428,,Asim
DJ and D Coordinated Designs LLC,PA138377,03/08/2026,215-617-0117,331 W. 7th ave,Conshohocken,PA,19428,,Asim
Doherty General Contracting,PA168157,9/28/2025,610-715-4882,141 W 7th Ave,Conshohocken,PA,19428,,Asim
Domers Construction LLC,PA048767,08/05/2025,610-551-4563,99 Kirk St,Conshohocken,PA,19428,,Asim
Donovan Contracting,PA085043,1/16/2026,610-324-5755,217 E. 14th Avenue,Conshohocken,PA,19428,,Asim
Dunlevy Contracting,PA081918,7/23/2026,610-656-8886,109 kirk st,Conshohocken,PA,19428,,Asim
"Durante Electric, Inc",PA047072,7/28/2025,610-834-0536,717 Springmill Ave Apt #1,Conshohocken,PA,19428,,Asim
East Coast Renovations Inc,PA146063,07/06/2025,610-637-2322,1714 harmon rd,Conshohocken,PA,19428,,Asim
East Coast Renovations Inc,PA146063,07/06/2025,610-637-2322,1714 Harmon Road,Conshohocken,PA,19428,,Asim
"East Coast Traders, Inc.",PA045926,10/30/2026,610-564-0449,P.O. Box 579,Conshohocken,PA,19428,,Asim
Edward F. Phipps Contracting,PA013788,08/11/2025,610-825-0301,237 East 12th Avenue,Conshohocken,PA,19428,,Asim
"Energy Windows Doors & More, LLC",PA084017,8/19/2025,484-645-6329,200 Barr Harbor Dr #400,Conshohocken,PA,19428,,Asim
Ezra Construction LLC,PA174727,10/08/2026,610-809-2918,16 W North Lane,Conshohocken,PA,19428,,Asim
Flush Plumbing and Home Repair,PA086684,06/07/2025,484-368-2836,302 W. 11th Ave,Conshohocken,PA,19428,,Asim
Fritz W. Doerstling,PA054925,10/13/2025,267-980-8771,2029 Spring Mill Rd.,Conshohocken,PA,19428,,Asim
"Galleo Pools, Inc.",PA057415,3/23/2026,610-828-6247,309 East Elm Street,Conshohocken,PA,19428,,Asim
George Page & Son,PA003174,09/12/2025,610-804-7271,347 West 7th Avenue,Conshohocken,PA,19428,,Asim
GJJ Home Renovations LLC,PA102712,8/16/2025,215-519-6747,233 East 10th Ave,Conshohocken,PA,19428,,Asim
Gray Solutions LLC,PA182890,05/12/2025,215-589-5950,311 W6th Ave,Conshohocken,PA,19428,,Asim
"Gregory Paving Co., Inc.",PA013577,7/20/2025,610-828-3044,700 Brook Road,Conshohocken,PA,19428,,Asim
Handyman Husketeers,PA199415,03/03/2027,484-486-5244,113 W North Ln,Conshohocken,PA,19428,,Asim
Hexa Construction LLC,PA176861,9/21/2026,610-247-8385,109 East 4th Ave Apt 3,Conshohocken,PA,19428,,Asim
His And Her Interiors LLC,PA167262,8/21/2025,484-681-1167,1054 Matsonford Rd,Conshohocken,PA,19428,,Asim
Huber Cabinets,PA186592,10/05/2025,267-374-4721,128 Front Street,Conshohocken,PA,19428,,Asim
IC Heating & Air Conditioning INC,PA023727,10/12/2025,610-636-6441,262 Tennessee Ave,Conshohocken,PA,19428,,Asim
"IKEA Home Services, LLC",PA182902,05/12/2025,832-236-5150,420 Alan Wood Rd,Conshohocken,PA,19428,,Asim
"J&A Goods, LLC DBA Plowman Kitchen and Bath",PA169712,12/09/2025,814-322-6555,1050 Colwell Ln #201,Conshohocken,PA,19428,,Asim
"J&A Goods, LLC DBA Plowman Kitchen and Bath",PA169712,12/09/2025,814-322-6555,239 ARDEN RD,Conshohocken,PA,19428,,Asim
James Electric,PA100516,05/10/2025,610-825-6263,1320 Midland Road,Conshohocken,PA,19428,,Asim
"Jason Leflar Carpentry, LLC",PA181309,3/22/2025,610-636-6459,309 Church Street,Conshohocken,PA,19428,,Asim
Jason Swoger Contracting,PA191910,4/27/2026,484-994-9474,700 Ford street,Conshohocken,PA,19428,,Asim
JDTP Holdings LLC,PA196434,10/22/2026,610-212-1153,410 Merion Hill Ln,Conshohocken,PA,19428,,Asim
"JFS4 Enterprises, LLC",PA022122,09/05/2026,610-825-8227,5 Portland Road,Conshohocken,PA,19428,,Asim
JMA Construction Services LLC,PA193408,6/20/2026,484-557-8699,1217 Rebel Hill Road,Conshohocken,PA,19428,,Asim
John Paul Contracting,PA149615,9/13/2026,610-324-7837,396 New Dehaven St.,Conshohocken,PA,19428,,Asim
John Rowe Electric,PA087728,06/08/2026,610-357-2466,201 Harry Street  #1,Conshohocken,PA,19428,,Asim
Jordan Parisse,PA110811,3/31/2025,267-474-2219,524 E Hector St,Conshohocken,PA,19428,,Asim
"Joseph Del Buono, Inc.",PA009429,07/12/2025,610-828-0473,216 E. 4th Avenue,Conshohocken,PA,19428,,Asim
Joseph T. Dolan Electrical & Telecommunications,PA055808,8/28/2026,215-816-6608,44 Taylor Road,Conshohocken,PA,19428,,Asim
"JWM Construction, LLC",PA184162,6/30/2025,610-675-9091,231 W. 6th Ave,Conshohocken,PA,19428,,Asim
K&A Plumbing,PA103094,10/13/2025,215-272-0464,1801 Butler Pike,Conshohocken,PA,19428,,Asim
KBL Electric LLC,PA020554,11/21/2026,610-818-7134,127 East 3rd Ave,Conshohocken,PA,19428,,Asim
Key Buddy Locksmith,PA186467,9/29/2025,267-333-1131,113 W North Ln,Conshohocken,PA,19428,,Asim
Keystone Power and Light LLC,PA113888,6/13/2026,610-636-6936,1401 Midland Ct,Conshohocken,PA,19428,,Asim
KMR Fine Carpentry,PA173272,4/27/2026,267-255-3150,1703 Butler Pike,Conshohocken,PA,19428,,Asim
Kriebel Mgmt,PA145297,5/30/2025,267-850-5607,123 josephine ave,Conshohocken,PA,19428,,Asim
"Lew Wolfe Pool Service, Inc.",PA007666,03/01/2026,610-825-9471,600 Apple Street,Conshohocken,PA,19428,,Asim
"Littleton Contractors, LLC",PA038652,06/06/2026,215-233-2223,215-233-5292,Conshohocken,PA,19428,,Asim
M2 Builders LLC,PA130595,12/23/2025,267-625-5322,348 W 7th Ave,Conshohocken,PA,19428,,Asim
"Mainline Home Entertainment, Inc.",PA090074,4/18/2025,610-342-6156,200 barr harbor drive,Conshohocken,PA,19428,,Asim
Marios Heating,PA053521,9/28/2025,610-397-0663,2 wilmer ave,Conshohocken,PA,19428,,Asim
Masciantonio Heating & Air Conditioning,PA046232,08/07/2025,610-828-5159,32 Taylor Road,Conshohocken,PA,19428,,Asim
"Masciantonio Plumbing & Heating, Inc.",PA015752,08/02/2025,610-828-0428,520 Wood Street,Conshohocken,PA,19428,,Asim
McCaughey Brothers Landscaping dba Terren Landscapes,PA015078,7/26/2025,610-284-4400,900 Matsonford Road,Conshohocken,PA,19428,,Asim
MCH Masonry Group Inc.,PA090420,07/03/2025,610-750-4757,1304 Conshohocken rd. Suite 130,Conshohocken,PA,19428,,Asim
Mid-Atlantic Sports Construction,PA104772,11/27/2025,484-567-2061,1000 Conshohocken Road,Conshohocken,PA,19428,,Asim
"Militia Hill Security, Inc.",PA003140,07/01/2025,610-825-0892,110 Cedar Grove Road,Conshohocken,PA,19428,,Asim
"Miller Bros. Division of Wampole-Miller, Inc.",PA086941,10/04/2026,610-832-1000,301 Alan Wood Rd.,Conshohocken,PA,19428,,Asim
Mitchell K LLC,PA172155,3/18/2026,484-751-8700,243 E 9th Ave,Conshohocken,PA,19428,,Asim
MSPINVESTORS LLC,PA193135,06/10/2026,484-531-2988,615 SPRING MILL AVE,Conshohocken,PA,19428,,Asim
"N. Abbonizio Contractors, Inc.",PA099117,1/24/2026,610-275-8540,1250 Conshohocken Road,Conshohocken,PA,19428,,Asim
Nationwide Cleaning & Restoration Services Inc,PA188738,01/12/2026,800-914-0135,200 Barr Harbor Dr #400,Conshohocken,PA,19428,,Asim
NMDGV Management Services LLC,PA175364,7/21/2026,267-640-1040,1950 Butler Pike #125,Conshohocken,PA,19428,,Asim
Ogur Contracting,PA185012,08/03/2025,202-985-8003,1950 Butler Pike,Conshohocken,PA,19428,,Asim
"Oruska Construction, Anthony Oruska General Contractor",PA051846,6/15/2026,484-719-0024,Various,Conshohocken,PA,19428,,Asim
"Paintech, Inc.",PA027395,08/09/2025,610-825-6500,920 Matsonford Road,Conshohocken,PA,19428,,Asim
"Palmer Construction Management, LLC",PA077876,07/07/2025,267-969-2973,1950 Butler Pike #228,Conshohocken,PA,19428,,Asim
Palya Property Maintenance Inc,PA036445,07/07/2025,610-637-2894,301 Summit Ave,Conshohocken,PA,19428,,Asim
Patch and Paint Pros LLC,PA080762,5/16/2025,484-483-3468,263 E Elm St,Conshohocken,PA,19428,,Asim
PenVal Construction Inc,PA015647,11/15/2025,610-676-9029,"1050 Colwell Lane, Suite 204",Conshohocken,PA,19428,,Asim
Pierce Homes Limited,PA064548,3/26/2026,610-643-4699,1087 New Dehaven Street,Conshohocken,PA,19428,,Asim
PINNACLE FLOORS LLC,PA034781,04/02/2026,302-731-8009,11 Union Hill Rd,Conshohocken,PA,19428,,Asim
PMJ Electric,PA094972,10/08/2026,610-547-7361,1300 HillCrest Rd,Conshohocken,PA,19428,,Asim
"Powell Masonry, LLC",PA158702,10/12/2026,215-240-2764,903 wood st,Conshohocken,PA,19428,,Asim
Prestige Wall Solutions LLC,PA182137,4/18/2025,610-573-7250,101 E 8th Ave,Conshohocken,PA,19428,,Asim
"QRS, LLC",PA075482,1/25/2027,215-259-3402,"539 Ford Street, Suite C",Conshohocken,PA,19428,,Asim
Quaker Sheds,PA070701,7/24/2026,215-589-3940,Not Deliverable As Addressed,Conshohocken,PA,19428,,Asim
Quinn Electrical Services,PA185169,08/09/2025,609-369-9684,1300 Fayette Street,Conshohocken,PA,19428,,Asim
"R.D. Zinni Heating and Cooling, LLC",PA080267,05/04/2025,610-825-1011,422 Spring Mill Avenue Rear,Conshohocken,PA,19428,,Asim
RainerShine Roofing,PA177904,11/02/2026,484-576-7574,20 e second ave,Conshohocken,PA,19428,,Asim
rangeheatingandcooling llc,PA142130,11/03/2026,267-987-9862,1950 butler pike,Conshohocken,PA,19428,,Asim
Raymond J. Lebold & Co.,PA047103,08/09/2025,610-941-0941,622 Spring Mill Avenue,Conshohocken,PA,19428,,Asim
"Refrigeration, Air Conditioning, Mechanical, Machining, Inc. (R.A.M.M., Inc.)",PA078161,03/11/2025,610-825-8560,15 Union Hill Rd.,Conshohocken,PA,19428,,Asim
"Remodelocity, LLC",PA159184,01/06/2027,610-945-1916,30 Clipper Rd,Conshohocken,PA,19428,,Asim
"Rhino Exterior Solutions, LLC",PA145782,2/15/2027,484-996-3600,1950 Butler Pike,Conshohocken,PA,19428,,Asim
Rinker & Brown Custom Carpentry,PA046910,03/12/2026,610-825-5285,101 E 8th Ave Suite 110,Conshohocken,PA,19428,,Asim
RKI Contractors Corporation,PA009090,8/21/2025,610-828-9933,1 Union Hill Road,Conshohocken,PA,19428,,Asim
"Robert Fazio Landscaping, Inc.",PA071126,07/05/2025,610-940-0645,130 Cardinal Drive,Conshohocken,PA,19428,,Asim
"Robert Gervasi and Son, LLP",PA012740,10/16/2025,610-941-6292,306 Bishop Circle,Conshohocken,PA,19428,,Asim
Rovive Property Care,PA141166,9/23/2026,215-651-6264,37 wood street,Conshohocken,PA,19428,,Asim
"Russell W. Palummo, Inc.",PA005931,3/13/2026,484-919-0580,416 Hallman Avenue,Conshohocken,PA,19428,,Asim
Savage Remodeling LLC,PA179049,01/02/2027,484-351-8595,103 Cedar Grove Road,Conshohocken,PA,19428,,Asim
"Savatree, LLC",PA166663,7/27/2025,914-864-3174,201 Colwell Lane,Conshohocken,PA,19428,,Asim
Siletta Plumbing,PA011496,03/03/2027,610-834-7551,PO Box 26,Conshohocken,PA,19428,,Asim
SRD Painting L.L.C.,PA186465,9/29/2025,484-433-4435,531 Palmer Rd,Conshohocken,PA,19428,,Asim
"SRIG, LLC",PA012671,07/01/2025,610-945-1916,610-707-8488,Conshohocken,PA,19428,,Asim
Sterling Kitchen Sales,PA004025,9/25/2026,610-647-4477,113 Ridge Pike,Conshohocken,PA,19428,,Asim
TEROX ELECTRIC & CONSTRUCTION CORP,PA149739,11/16/2025,215-908-6983,1100 matsonford rd,Conshohocken,PA,19428,,Asim
Terramor Landscape Co.,PA138753,1/23/2027,484-919-0107,111 W 9th Ave,Conshohocken,PA,19428,,Asim
The Chimney Scientist Inc.,PA113894,2/14/2027,610-909-5585,"200 Barr Harbor Dr, Suite 400",Conshohocken,PA,19428,,Asim
The Chimney Scientist Inc.,PA113894,2/14/2027,610-909-5585,200 Barr Harbor Dr. Suite 400,Conshohocken,PA,19428,,Asim
"The Delta Alliance, LLC",PA140197,5/23/2026,610-917-8900,401 E. Elm Street,Conshohocken,PA,19428,,Asim
"Thomas Andrew Homes, Inc.",PA139296,2/13/2027,610-637-1498,1312 Wood St.,Conshohocken,PA,19428,,Asim
Thurston Painting LLC,PA166964,02/06/2026,610-233-4329,126 W 11th AVE,Conshohocken,PA,19428,,Asim
Tierney & Williams LLC,PA166303,10/10/2026,610-393-4819,103 west 6th avenue,Conshohocken,PA,19428,,Asim
Topline Construction,PA054721,01/03/2026,610-397-0686,1201 Maple Street,Conshohocken,PA,19428,,Asim
"Tri-State Creations, LLC",PA002286,07/05/2025,610-629-0646,101 E. 8th Ave - Suite 304,Conshohocken,PA,19428,,Asim
"Turn Key Realty, LLC",PA042506,9/14/2025,484-904-0121,720 Fayette Street,Conshohocken,PA,19428,,Asim
Tyson Homes Inc.,PA140996,2/22/2026,484-326-0665,P.O. Box 728,Conshohocken,PA,19428,,Asim
Vincent A. Dorazio Masonry Contractor,PA085866,10/18/2025,610-825-4319,121 E 11th Ave,Conshohocken,PA,19428,,Asim
"Whitemarsh Electric, Inc.",PA198919,2/13/2027,610-834-8220,300 Summit Avenue,Conshohocken,PA,19428,,Asim
WJD Contracting,PA062871,7/15/2026,610-888-7779,1416 Hallowell St,Conshohocken,PA,19428,,Asim
Academy Electric,PA134931,9/15/2025,610-828-1201,29 Scarlet Oak Drive,Lafayette Hill,PA,19444,,Asim
All Seasons Maintenance and Design,PA137520,5/13/2025,610-656-9543,2131 Basswood Drive,Lfayette Hill,PA,19444,,Asim
Allegra Brothers Inc.,PA129586,3/27/2026,215-990-4261,3021 Edmonds rd,Lafayette hill,PA,19444,,Asim
AllTrades Big and Small LLC,PA183840,6/18/2025,484-734-1920,4073 Thompson Road,Lafayette Hill,PA,19444,,Asim
"ARLR, Inc.",PA073580,6/27/2025,610-834-0801,117 Red Rambler Dr.,LaFayette Hill,PA,19444,,Asim
Ashenfelter Bros LLC,PA185865,09/06/2025,215-651-2023,4066 1st Avenue,LaFayette Hill,PA,19444,,Asim
C.Perrone Contracting,PA181571,3/30/2025,267-896-0711,332 Flourtown Rd.,LaFayette Hill,PA,19444,,Asim
Cabinet Revelations Inc,PA199269,2/26/2027,610-822-9913,227 Birch Drive,LaFayette Hill,PA,19444,,Asim
"Cermanski Electric, Heating & Cooling",PA019108,8/14/2025,610-825-4452,4031 Woodruff Rd.,LaFayette Hill,PA,19444,,Asim
Ciccolone Contracting,PA164663,5/31/2025,215-990-1758,202 Birch Drive,LaFayette Hill,PA,19444,,Asim
"CMG Electric, Inc.",PA137503,02/03/2026,610-825-1766,4038 MacNiff Drive,LaFayette Hill,PA,19444,,Asim
Cohen Electrical Services LLC,PA175799,08/06/2026,215-570-7118,2130 Ash Ln,LaFayette Hill,PA,19444,,Asim
Dawson Street Properties LLC,PA120553,12/05/2025,610-585-0876,632 Germantown Pk,LaFayette Hill,PA,19444,,Asim
Dwight Nolt,PA142081,09/10/2026,215-495-7603,4146 TWYNNWOOD ROAD,LaFayette Hill,PA,19444,,Asim
EHI ROOFING LLC,PA113884,10/17/2026,215-651-4379,4118 BARBERRY DR.,LaFayette Hill,PA,19444,,Asim
EHI ROOFING LLC,PA113884,10/17/2026,215-651-4379,4118 Barbery Drive,LaFayette Hill,PA,19444,,Asim
Francis Coyne General Contracting,PA134733,07/10/2026,610-941-4107,4035 S Warner Rd,LaFayette Hill,PA,19444,,Asim
George Konowal Fuel Oil  LLC,PA023649,1/20/2026,610-828-0306,610-828-0306,LaFayette Hill,PA,19444,,Asim
GetMiz,PA186565,10/03/2025,267-945-3969,227 Ash Lane,LaFayette Hill,PA,19444,,Asim
"Holod's Kitchen and Bath Showroom, LLC",PA094439,4/23/2026,610-828-1220,716 Ridge Pike,LaFayette Hill,PA,19444,,Asim
Jeffries Basement Waterproofing,PA162400,3/15/2026,267-227-1733,505 Germantown Pike,LaFayette Hill,PA,19444,,Asim
joseph loonstyn roofing and contracting,PA193787,07/08/2026,215-235-7000,136 chinaberry drive,LaFayette Hill,PA,19444,,Asim
JPservice and installations inc.,PA137194,8/23/2026,845-520-1124,534 RIDGE PIKE,LaFayette Hill,PA,19444,,Asim
JPservice and installations inc.,PA137194,8/23/2026,845-520-1124,534 ridge pike,LaFayette Hill,PA,19444,,Asim
Kenneth Yanni Home Remodeling,PA069759,1/21/2027,610-832-1142,4011 Briar Lane,LaFayette Hill,PA,19444,,Asim
