Name,"Address (format: ""10 Jackson Rd, Orlando, FL, 84312"")",,Phone number,Website,Google Maps link (clickable link to access Maps page),Worker
Stanton Optical,3401 W Airport Fwy #122,"3401 W Airport Fwy #122, Irving, TX 75062",(469) 807-3970,https://www.stantonoptical.com/locations/irving-tx/?utm_source=google&utm_medium=organic&utm_campaign=Irving-TX-Local,https://www.google.com/maps/place/Stanton+Optical/data=!4m7!3m6!1s0x864e8395e05d530f:0x1f09c1315fd83b7d!8m2!3d32.8394355!4d-96.9917638!16s%2Fg%2F11hzlzq35v!19sChIJD1Nd4JWDToYRfTvYXzHBCR8?authuser=0&hl=en&rclk=1,
i3 Diagnostics,·,,(469) 565-8187,,https://www.google.com/maps/place/i3+Diagnostics/data=!4m7!3m6!1s0x864c2bb56064acf7:0xc018a0828138afd6!8m2!3d32.9230983!4d-97.0132463!16s%2Fg%2F11rdqc__b0!19sChIJ96xkYLUrTIYR1q84gYKgGMA?authuser=0&hl=en&rclk=1,
Fastest Labs of Irving,1625 W Mockingbird Ln suite 303,"1625 W Mockingbird Ln Suite 303, Irving, TX 75060",(214) 833-9916,https://www.fastestlabs.com/irving/,https://www.google.com/maps/place/Fastest+Labs+of+Irving/data=!4m7!3m6!1s0x864e9d71bd8a52f5:0x13fe2917b3fe1761!8m2!3d32.8225801!4d-96.8568691!16s%2Fg%2F11l6815xm0!19sChIJ9VKKvXGdToYRYRf-sxcp_hM?authuser=0&hl=en&rclk=1,
Any Lab Test Now,,,(817) 354-8378,https://www.anylabtestnow.com/euless-76039/,https://www.google.com/maps/place/Any+Lab+Test+Now/data=!4m7!3m6!1s0x864e806e088948e7:0x7fe4da979659a1c5!8m2!3d32.8500688!4d-97.0819972!16s%2Fg%2F1thp8d5y!19sChIJ50iJCG6AToYRxaFZlpfa5H8?authuser=0&hl=en&rclk=1,
Clinicas Mi Doctor,506 S Nursery Rd Ste 101,"506 S Nursery Rd Suite 101, Irving, TX 75060",(972) 573-3288,https://mdmedicalgroup.us/location/irving/,https://www.google.com/maps/place/Clinicas+Mi+Doctor/data=!4m7!3m6!1s0x864e8345213b074f:0xf64b16a019dbe01b!8m2!3d32.8094038!4d-96.9339086!16s%2Fg%2F1tgxjgcb!19sChIJTwc7IUWDToYRG-DbGaAWS_Y?authuser=0&hl=en&rclk=1,
Albertsons Pharmacy,2200 W Shady Grove Rd,"2200 W Shady Grove Rd, Irving, TX 75060",(972) 374-5100,https://local.pharmacy.albertsons.com/tx/irving/2200-w-shady-grove-rd.html,https://www.google.com/maps/place/Albertsons+Pharmacy/data=!4m7!3m6!1s0x864e83ab780bcb43:0x650dcb5c15c1d8ea!8m2!3d32.7998998!4d-96.9747669!16s%2Fg%2F11sswxvjb1!19sChIJQ8sLeKuDToYR6tjBFVzLDWU?authuser=0&hl=en&rclk=1,
Concentra Urgent Care,,,(972) 554-8494,http://www.concentra.com/?utm_source=Yext&utm_medium=Organic&utm_campaign=Homepage%20Link,https://www.google.com/maps/place/Concentra+Urgent+Care/data=!4m7!3m6!1s0x864c282c42512ddd:0x700908b588c231d9!8m2!3d32.8922422!4d-96.9596645!16s%2Fg%2F1tf2sml2!19sChIJ3S1RQiwoTIYR2THCiLUICXA?authuser=0&hl=en&rclk=1,
Irving Health Center,1800 N Britain Rd,"1800 N Britain Rd, Irving, TX 75061",(214) 266-3000,http://www.parklandhospital.com/phhs/locations/irving-health-center-7.aspx,https://www.google.com/maps/place/Irving+Health+Center/data=!4m7!3m6!1s0x864e8322776ea3c3:0x5f3461f1793639b!8m2!3d32.8336277!4d-96.9432199!16s%2Fg%2F11b6gf2dbt!19sChIJw6NudyKDToYRm2OTFx9G8wU?authuser=0&hl=en&rclk=1,
Any Lab Test Now - Dallas,5219A W Lovers Ln,"5219A W Lovers Ln, Irving, TX 75062",(214) 956-8378,https://www.anylabtestnow.com/dallas-75209/,https://www.google.com/maps/place/Any+Lab+Test+Now+-+Dallas/data=!4m7!3m6!1s0x864e9e631be4407b:0x487b601060a5e1f1!8m2!3d32.8514349!4d-96.8220132!16s%2Fg%2F1tf7sk3x!19sChIJe0DkG2OeToYR8eGlYBBge0g?authuser=0&hl=en&rclk=1,
Rcts Inc,3207 Esters Rd,"3207 Esters Rd, Irving, TX 75062",(972) 871-7578,http://www.rctslabs.com/,https://www.google.com/maps/place/Rcts+Inc/data=!4m7!3m6!1s0x864e81886b5752b5:0xe2c47739b7971b98!8m2!3d32.8504998!4d-97.0085412!16s%2Fg%2F1tx1tlpn!19sChIJtVJXa4iBToYRmBuXtzl3xOI?authuser=0&hl=en&rclk=1,
Physical Therapists,,,,,,
CareNow Urgent Care - Irving,2675 N Belt Line Rd,"2675 N Belt Line Rd, Irving, TX 75062",(469) 299-5445,https://www.carenow.com/locations/dallas-fort-worth/irving?utm__campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,https://www.google.com/maps/place/CareNow+Urgent+Care+-+Irving/data=!4m7!3m6!1s0x864e8353eb809e65:0x8b6cdfce9755c5bc!8m2!3d32.843021!4d-96.9928481!16s%2Fg%2F11p9vy0jjp!19sChIJZZ6A61ODToYRvMVVl87fbIs?authuser=0&hl=en&rclk=1,
Baylor Scott & White Medical Center - Irving,1901 N MacArthur Blvd,"1901 N MacArthur Blvd, Irving, TX 75061",(972) 990-8100,https://www.bswhealth.com/locations/irving-hospital,https://www.google.com/maps/place/Baylor+Scott+%26+White+Medical+Center+-+Irving/data=!4m7!3m6!1s0x864e8301297838c7:0x8c6d0e41c3617fc7!8m2!3d32.834711!4d-96.960209!16s%2Fg%2F1tf9tb9w!19sChIJxzh4KQGDToYRx39hw0EObYw?authuser=0&hl=en&rclk=1,
Guadalupe Rehab & Pain,2600 W Irving Blvd,"2600 W Irving Blvd, Irving, TX 75061",(972) 313-8484,,https://www.google.com/maps/place/Guadalupe+Rehab+%26+Pain/data=!4m7!3m6!1s0x864e83b0b39c5c89:0xb2b938c5c835a6ab!8m2!3d32.8291527!4d-96.9799095!16s%2Fg%2F1tf_httb!19sChIJiVycs7CDToYRq6Y1yMU4ubI?authuser=0&hl=en&rclk=1,
Irving Massage Therapy,3636 N MacArthur Blvd,"3636 N MacArthur Blvd, Irving, TX 75062",(972) 256-3565,http://www.irvingmassage.com/,https://www.google.com/maps/place/Irving+Massage+Therapy/data=!4m7!3m6!1s0x864e8230d916d6eb:0xd4ad28127c8c61b8!8m2!3d32.8526269!4d-96.9578969!16s%2Fg%2F1tdz5755!19sChIJ69YW2TCCToYRuGGMfBIordQ?authuser=0&hl=en&rclk=1,
Villages on MacArthur,3443 N MacArthur Blvd,"3443 N MacArthur Blvd, Irving, TX 75062",(469) 586-4424,https://villagesonmacarthur.com/,https://www.google.com/maps/place/Villages+on+MacArthur/data=!4m7!3m6!1s0x864e82f75084161f:0xa71430464395231e!8m2!3d32.8517633!4d-96.9607578!16s%2Fg%2F1ptxgy1rp!19sChIJHxaEUPeCToYRHiOVQ0YwFKc?authuser=0&hl=en&rclk=1,
Direct Orthopedic Care - Las Colinas,3014 N O'Connor Rd #200,"3014 N O'Connor Rd #200, Irving, TX 75062",(469) 648-2282,https://www.directorthocare.com/location/las-colinas/,https://www.google.com/maps/place/Direct+Orthopedic+Care+-+Las+Colinas/data=!4m7!3m6!1s0x864e82e4789fdf25:0xb43abccd3af3a9f2!8m2!3d32.8465902!4d-96.9498973!16s%2Fg%2F11c58wy5_s!19sChIJJd-feOSCToYR8qnzOs28OrQ?authuser=0&hl=en&rclk=1,
MyoCore - Irving,2021 N MacArthur Blvd #530,"2021 N MacArthur Blvd #530, Irving, TX 75061",(945) 356-2950,https://www.myocore.com/,https://www.google.com/maps/place/MyoCore+-+Irving/data=!4m7!3m6!1s0x864e838de94236b1:0x7a672bb8d7dcb43c!8m2!3d32.8355247!4d-96.9618191!16s%2Fg%2F11kj3wmd35!19sChIJsTZC6Y2DToYRPLTc17grZ3o?authuser=0&hl=en&rclk=1,
Irving Therapy,,,(972) 821-3086,http://irvingtherapy.com/,https://www.google.com/maps/place/Irving+Therapy/data=!4m7!3m6!1s0x864c29d5fb2b8a9b:0x45a750ca60e6b72b!8m2!3d32.8855837!4d-96.9687503!16s%2Fg%2F11ckfq014w!19sChIJm4or-9UpTIYRK7fmYMpQp0U?authuser=0&hl=en&rclk=1,
Avante Rehabilitation Center,225 N Sowers Rd,"225 N Sowers Rd, Irving, TX 75061",(972) 253-4173,http://www.avanterc.com/,https://www.google.com/maps/place/Avante+Rehabilitation+Center/data=!4m7!3m6!1s0x864e837280a79813:0x9de31be79e8a71e2!8m2!3d32.8156288!4d-96.9534405!16s%2Fg%2F1tg6kz7p!19sChIJE5ingHKDToYR4nGKnucb450?authuser=0&hl=en&rclk=1,
"Cynthia A. Brinker, PT",1901 N MacArthur Blvd,"1901 N MacArthur Blvd, Irving, TX 75061",(972) 579-8155,,"https://www.google.com/maps/place/Cynthia+A.+Brinker,+PT/data=!4m7!3m6!1s0x864e8301297f521d:0x35b4239e35ce1a35!8m2!3d32.8346954!4d-96.9603078!16s%2Fg%2F1tdx4jpq!19sChIJHVJ_KQGDToYRNRrONZ4jtDU?authuser=0&hl=en&rclk=1",
"Thrive Pain Management: Dr. Teddrick L. Dunson, MD",2021 N MacArthur Blvd #520,"2021 N MacArthur Blvd #520, Irving, TX 75061",(469) 772-5633,https://www.thrivepain.com/,"https://www.google.com/maps/place/Thrive+Pain+Management:+Dr.+Teddrick+L.+Dunson,+MD/data=!4m7!3m6!1s0x864e83843f15a221:0xe22860288d939d19!8m2!3d32.835034!4d-96.9620818!16s%2Fg%2F11gmbhq02c!19sChIJIaIVP4SDToYRGZ2TjShgKOI?authuser=0&hl=en&rclk=1",
Accident Centers of Texas,219 S O Connor Rd,"219 S O Connor Rd, Irving, TX 75060",(972) 908-9889,https://accidentcentersoftexas.com/,https://www.google.com/maps/place/Accident+Centers+of+Texas/data=!4m7!3m6!1s0x864e83306572635d:0x1a487de758bb3807!8m2!3d32.8120225!4d-96.9503529!16s%2Fg%2F11f651m8fx!19sChIJXWNyZTCDToYRBzi7WOd9SBo?authuser=0&hl=en&rclk=1,
Irving Injury Center,612 N Story Rd #107,"612 N Story Rd #107, Irving, TX 75061",(972) 514-6278,http://www.irvinginjurycenter.com/,https://www.google.com/maps/place/Irving+Injury+Center/data=!4m7!3m6!1s0x864e83bcbfecaf2b:0x142dcbe3f3d13ef7!8m2!3d32.821463!4d-96.9758241!16s%2Fg%2F11g8_fmv1m!19sChIJK6_sv7yDToYR9z7R8-PLLRQ?authuser=0&hl=en&rclk=1,
183 Pain And Injury,800 W Airport Fwy #501,"800 W Airport Fwy #501, Irving, TX 75062",(972) 812-2360,http://www.dfwpainandinjury.com/,https://www.google.com/maps/place/183+Pain+And+Injury/data=!4m7!3m6!1s0x864e8303682d5597:0xc63d616670a91441!8m2!3d32.8362045!4d-96.9546127!16s%2Fg%2F1q62dm8pp!19sChIJl1UtaAODToYRQRSpcGZhPcY?authuser=0&hl=en&rclk=1,
"Magnolia Chiropractic, P.A.",139 S Main St,"139 S Main St, Irving, TX 75060",(972) 554-1511,https://magnoliachiro.com/,"https://www.google.com/maps/place/Magnolia+Chiropractic,+P.A./data=!4m7!3m6!1s0x864e8308af7341c1:0x1213214f6ef7a54e!8m2!3d32.8129587!4d-96.9465476!16s%2Fg%2F1vpq793q!19sChIJwUFzrwiDToYRTqX3bk8hExI?authuser=0&hl=en&rclk=1",
"Superior Health & Wellness Center, LLC",611 N MacArthur Blvd #110,"611 N MacArthur Blvd #110, Irving, TX 75061",(972) 253-9355,,"https://www.google.com/maps/place/Superior+Health+%26+Wellness+Center,+LLC/data=!4m7!3m6!1s0x864e83a0b056dd7f:0x60e75aa2b1353f10!8m2!3d32.82051!4d-96.9598661!16s%2Fg%2F11c6_xbjjb!19sChIJf91WsKCDToYRED81saJa52A?authuser=0&hl=en&rclk=1",
Airrosti Las Colinas,7433 Las Colinas Blvd Ste 101,"7433 Las Colinas Blvd Suite 101, Irving, TX 75063",(972) 284-1119,https://www.airrosti.com/location/texas/irving-7433-las-colinas-blvd-alasc/,https://www.google.com/maps/place/Airrosti+Las+Colinas/data=!4m7!3m6!1s0x864c284aa479c0b7:0x6fe1184c44ad921d!8m2!3d32.9091292!4d-96.9546679!16s%2Fg%2F1q5bnpcq4!19sChIJt8B5pEooTIYRHZKtREwY4W8?authuser=0&hl=en&rclk=1,
"Rehab Without Walls - Home & Community Rehab - Irving, Texas",1333 Corporate Dr # 245,"1333 Corporate Dr #245, Irving, TX 75038",(214) 591-0061,https://www.rehabwithoutwalls.com/locations/dallas-fort-worth-texas-area/,"https://www.google.com/maps/place/Rehab+Without+Walls+-+Home+%26+Community+Rehab+-+Irving,+Texas/data=!4m7!3m6!1s0x864c29912be6733b:0xcbc45be2d2f729d3!8m2!3d32.8879678!4d-96.9705181!16s%2Fg%2F1tc_fnt7!19sChIJO3PmK5EpTIYR0yn30uJbxMs?authuser=0&hl=en&rclk=1",
Dallas Pelvic Health,114 E John W Carpenter Fwy Suite# 130,"114 E John W Carpenter Fwy Suite 130, Irving, TX 75062",(469) 476-0915,https://www.dallaspelvichealthllctx.com/,https://www.google.com/maps/place/Dallas+Pelvic+Health/data=!4m7!3m6!1s0x864c3ddddc8c88cd:0x7d2de72771314ac8!8m2!3d32.8658605!4d-96.9445288!16s%2Fg%2F11r9dt7qcj!19sChIJzYiM3N09TIYRyEoxcSfnLX0?authuser=0&hl=en&rclk=1,
DOC Physical Therapy,2700 N O'Connor Rd #138,"2700 N O'Connor Rd #138, Irving, TX 75062",(469) 648-2282,,https://www.google.com/maps/place/DOC+Physical+Therapy/data=!4m7!3m6!1s0x864e833fdf2482d7:0xda43a2aad0d457ed!8m2!3d32.8426945!4d-96.9503549!16s%2Fg%2F11smvj2279!19sChIJ14Ik3z-DToYR7VfU0KqiQ9o?authuser=0&hl=en&rclk=1,
Therapy 2000,,,(713) 783-8181,http://www.t2000.com/,https://www.google.com/maps/place/Therapy+2000/data=!4m7!3m6!1s0x8017f9753ef7bb19:0x29849c9bb812df10!8m2!3d30.5108631!4d-96.3400646!16s%2Fg%2F11v0xyjd9y!19sChIJGbv3PnX5F4AREN8SuJuchCk?authuser=0&hl=en&rclk=1,
Holistiq Spine & Orthopaedic Clinic,4441 W Airport Fwy Ste 215,"4441 W Airport Fwy Suite 215, Irving, TX 75062",(469) 444-7246,https://goholistiq.com/,https://www.google.com/maps/place/Holistiq+Spine+%26+Orthopaedic+Clinic/data=!4m7!3m6!1s0x864e817c0a1fa911:0x6f9490b286d6a825!8m2!3d32.838667!4d-97.0142098!16s%2Fg%2F11jygrfh_v!19sChIJEakfCnyBToYRJajWhrKQlG8?authuser=0&hl=en&rclk=1,
Classic Rehabilitation,504 N Carrier Pkwy,"504 N Carrier Pkwy, Irving, TX 75060",(972) 263-7042,http://www.classicrehabilitation.com/,https://www.google.com/maps/place/Classic+Rehabilitation/data=!4m7!3m6!1s0x864e867d397a579d:0xff1e7ac41cdf8de9!8m2!3d32.7458547!4d-97.0165448!16s%2Fg%2F1tf5l1cl!19sChIJnVd6OX2GToYR6Y3fHMR6Hv8?authuser=0&hl=en&rclk=1,
Las Colinas Counseling Center,1075 Kinwest Pkwy STE 107,"1075 Kinwest Pkwy Suite 107, Irving, TX 75063",(972) 910-8388,http://lascolinascounseling.com/,https://www.google.com/maps/place/Las+Colinas+Counseling+Center/data=!4m7!3m6!1s0x864c284ac07cfe73:0xf258a454cd7fb59d!8m2!3d32.9091099!4d-96.9626768!16s%2Fg%2F11b807w11l!19sChIJc_58wEooTIYRnbV_zVSkWPI?authuser=0&hl=en&rclk=1,
James Sears Massage (by appointment only),105 W 2nd St,"105 W 2nd St, Irving, TX 75060",(214) 907-5009,,https://www.google.com/maps/place/James+Sears+Massage+%28by+appointment+only%29/data=!4m7!3m6!1s0x864e83a0ce03e705:0xff83798f6f605216!8m2!3d32.8129529!4d-96.9467046!16s%2Fg%2F1q62dmh83!19sChIJBecDzqCDToYRFlJgb495g_8?authuser=0&hl=en&rclk=1,
Outpatient Therapy Clinic,1901 N MacArthur Blvd,"1901 N MacArthur Blvd, Irving, TX 75061",(972) 579-8155,,https://www.google.com/maps/place/Outpatient+Therapy+Clinic/data=!4m7!3m6!1s0x864e8301297f521d:0x1539b9ebe8e1c90b!8m2!3d32.8346954!4d-96.9603078!16s%2Fg%2F1vppsycx!19sChIJHVJ_KQGDToYRC8nh6Ou5ORU?authuser=0&hl=en&rclk=1,
"Anthony Hurt, PTA",2120 N MacArthur Blvd,"2120 N MacArthur Blvd, Irving, TX 75061",(972) 438-3800,,"https://www.google.com/maps/place/Anthony+Hurt,+PTA/data=!4m7!3m6!1s0x864e83015068ea17:0x71fff978a0fb41d9!8m2!3d32.835753!4d-96.9585761!16s%2Fg%2F1hc1zg_z1!19sChIJF-poUAGDToYR2UH7oHj5_3E?authuser=0&hl=en&rclk=1",
"Robert E. Bayless, M.D.",2120 N MacArthur Blvd,"2120 N MacArthur Blvd, Irving, TX 75061",(972) 438-4636,http://www.baylessortho.com/,"https://www.google.com/maps/place/Robert+E.+Bayless,+M.D./data=!4m7!3m6!1s0x864e83015068ea93:0xc6f05b6ce9bb3d65!8m2!3d32.8357346!4d-96.9585311!16s%2Fg%2F1vmr1spq!19sChIJk-poUAGDToYRZT276Wxb8MY?authuser=0&hl=en&rclk=1",
Texas Medical Institute,100 W Airport Fwy,"100 W Airport Fwy, Irving, TX 75062",(972) 777-5480,https://www.texasmedicalinstitute.com/,https://www.google.com/maps/place/Texas+Medical+Institute/data=!4m7!3m6!1s0x864e831f27ed1b6b:0x87d45bfda8020eb9!8m2!3d32.8364475!4d-96.9449035!16s%2Fg%2F11t0q106tm!19sChIJaxvtJx-DToYRuQ4CqP1b1Ic?authuser=0&hl=en&rclk=1,
Dr. Dean Family Chiropractic,3100 N O'Connor Rd #110,"3100 N O'Connor Rd #110, Irving, TX 75062",(469) 237-6116,https://www.drdeanfamilychiropractic.com/,https://www.google.com/maps/place/Dr.+Dean+Family+Chiropractic/data=!4m7!3m6!1s0x864e82e2f1e24745:0xdaf8d18879f63699!8m2!3d32.8470693!4d-96.9502286!16s%2Fg%2F1261wl72j!19sChIJRUfi8eKCToYRmTb2eYjR-No?authuser=0&hl=en&rclk=1,
AOA Orthopedic Specialists,2005 W Park Dr # 100,"2005 W Park Dr #100, Irving, TX 75061",(817) 375-5200,https://www.arlingtonortho.com/,https://www.google.com/maps/place/AOA+Orthopedic+Specialists/data=!4m7!3m6!1s0x864e83012fb2c247:0xd0677122b37177ac!8m2!3d32.835361!4d-96.963131!16s%2Fg%2F11b6vdvt08!19sChIJR8KyLwGDToYRrHdxsyJxZ9A?authuser=0&hl=en&rclk=1,
Texas Rehabilitation,1636 W Irving Blvd,"1636 W Irving Blvd, Irving, TX 75061",(972) 259-3079,,https://www.google.com/maps/place/Texas+Rehabilitation/data=!4m7!3m6!1s0x864e83a0e3291213:0x39c10b5ef85e96fc!8m2!3d32.8211796!4d-96.9670173!16s%2Fg%2F1tf6xrs8!19sChIJExIp46CDToYR_JZe-F4LwTk?authuser=0&hl=en&rclk=1,
Southwest Pain Management,220 O Connor Ridge Blvd # 105,"220 O Connor Ridge Blvd #105, Irving, TX 75038",(214) 305-8004,https://reliefbeginshere.com/,https://www.google.com/maps/place/Southwest+Pain+Management/data=!4m7!3m6!1s0x864c29ce84c4d51b:0x2cdb0b98eec4b6e4!8m2!3d32.866375!4d-96.9503469!16s%2Fg%2F11h2q584n5!19sChIJG9XEhM4pTIYR5LbE7pgL2yw?authuser=0&hl=en&rclk=1,
Ashford Hall Nursing and Rehabilitation,2021 Shoaf Dr,"2021 Shoaf Dr, Irving, TX 75061",(972) 579-1919,http://www.ashfordhall.com/,https://www.google.com/maps/place/Ashford+Hall+Nursing+and+Rehabilitation/data=!4m7!3m6!1s0x864e831bf6c5d5f3:0x2325682cc433a752!8m2!3d32.83503!4d-96.947921!16s%2Fg%2F1tf6s66_!19sChIJ89XF9huDToYRUqczxCxoJSM?authuser=0&hl=en&rclk=1,
Hill Chiropractic Center,220 W Irving Blvd,"220 W Irving Blvd, Irving, TX 75060",(972) 258-6647,http://www.irvingtxchiro.com/,https://www.google.com/maps/place/Hill+Chiropractic+Center/data=!4m7!3m6!1s0x864e82e47bde36e5:0x1494ac3c5498804a!8m2!3d32.8135822!4d-96.9481699!16s%2Fg%2F1tmy5g9l!19sChIJ5Tbee-SCToYRSoCYVDyslBQ?authuser=0&hl=en&rclk=1,
