hj,gg,ggg,fgf,ddd,aaa,Worker
Niko Motobike,http://www.nikomotobike.com,boutique@nikomotobike.com,,Retail,Cycles and Motorcycles,Shahwaiz Farooq
Classic tapicerías,http://www.tapiceriasclassicburgos.es,info@tapiceriasclassicburgos.es,,Retail,Sofas and Floral Wing Chair,Shahwaiz Farooq
Kitkay Muebles,http://www.kitkay.com,info@kitkay.com,,Retail,Kitchen Tables Chairs,Shahwaiz Farooq
Muebles Zenit,http://www.muebleszenit.com,graficaldesigns@gmail.com,,Retail,Tables and Chairs,Shahwaiz Farooq
Schussler Natur Cosmedics,http://www.schusslernaturcosmedics.es,info@schusslernaturcosmedics.es,,Retail,HELAN COSMETICS,Shahwaiz Farooq
Sports Zona,http://www.sportszona.com,info@sportszona.com,,Retail,"Jersey,Baseball,Football,Hockey",Shahwaiz Farooq
Acosta Tu tienda de calzado en Internet,http://www.calzadosacosta.com,info@calzadosacosta.com,,Retail,Clothing and Footware,Shahwaiz Farooq
Confianza Farmagalia,http://www.farmagalia.com,info@farmagalia.com,,Retail,GIFTS AND PROMOTIONS Cosmetics,Shahwaiz Farooq
Sports Pamies,http://www.sportspamies.com,info@sportspamies.com,,Retail,"Hard Lures,Rod mounting,accessories,White hair,Hooks",Shahwaiz Farooq
Flores y Plantas Mari & tusfloresonline,http://www.tusfloresonline.es,info@tusfloresonline.es,,Retail,Toys,Shahwaiz Farooq
Filatelia Fiscal,http://www.filateliafiscal.es,info@filateliafiscal.es,,Retail,"fiscal stamps, fiscal philately",Shahwaiz Farooq
"Dorsalia, tu fábrica de dorsales",http://www.dorsalia.com,dorsalia@dorsalia.com,,Retail,Wooden Trophy,Shahwaiz Farooq
Galiana Online,http://www.galianaonline.com,info@galianaonline.com,,Retail,Clothing and Fashion,Shahwaiz Farooq
Juegos la comarca,http://www.juegoslacomarca.es,info@juegoslacomarca.es,,Retail,Collectible Figures,Shahwaiz Farooq
Pantallas Leds Nano Ag,http://www.plantasacuaticas.es,info@plantasacuaticas.es,,Retail,"Aquatic Plants,Fresh Water,Fish Food",Shahwaiz Farooq
Folder,http://www.folder.es,info@folder.es,,Retail,Commercial Services & Supplies,Shahwaiz Farooq
Cuadros Crifor,http://www.cuadroscrifor.com,info@cuadroscrifor.com,,Retail,Specialty Retail,Shahwaiz Farooq
La Farmacia de María,http://www.lafarmaciademaria.com,info@lafarmaciademaria.com,,Retail,Retailing,Shahwaiz Farooq
Master Gift Import,http://www.tiendasmgi.es,clientes@grupomgi.com,,Retail,Consumer Goods,Shahwaiz Farooq
Polaris Accesorios,http://www.polarisaccesorios.com,info@polarisaccesorios.com,,Retail,Automotive,Shahwaiz Farooq
Tienda Eurasia,http://www.tiendaeurasia.com,info@eurasia-inter.es,,Retail,Retailing,Shahwaiz Farooq
Joyeria Mili,http://www.joyeriamili.com,consultas@joyeriamili.com,,Retail,Retailing,Shahwaiz Farooq
Deseos Florist,http://www.deseosflorist.com,Info@deseosflorist.com,,Retail,Specialty Retail,Shahwaiz Farooq
Adrivi,http://www.zapateriasanchez.com,hola@zapateriasanchez.com,,Retail,"Textiles, Apparel & Luxury Goods",Shahwaiz Farooq
Aquasistema Acuarios SL,http://www.pzes.es,info@pzes.es,,Retail,Retailing,Shahwaiz Farooq
Odette Dance,http://www.odettedance.com,odettedanceshop@gmail.com,,Retail,Specialty Retail,Shahwaiz Farooq
Espai Vegetal,http://www.espaivegetal.com,info@espaivegetal.com,,Retail,Retailing,Shahwaiz Farooq
KTM Siebla,http://www.ktmsiebla.com,info@ktmsiebla.com,,Retail,Automotive,Shahwaiz Farooq
TodoMadera,http://www.todomadera.es,sales@todomadera.com.es,,Retail,Specialty Retail,Shahwaiz Farooq
OMBLANC,http://www.omblanc.com,omblanc@omblanc.com,,Retail,"Textiles, Apparel & Luxury Goods",Shahwaiz Farooq
WoodFactory,http://www.woodfactory.es,info@woodfactory.es,,Retail,Specialty Retail,Shahwaiz Farooq
Saldos y Stocks,http://www.saldosystocks.com,info@allmobel.com,,Retail,Specialty Retail,Shahwaiz Farooq
Farmacia Alcorcón,http://www.farmacialcorcon.com,ortopedia@ortopedialcorcon.com,,Retail,Health Care Providers & Services,Shahwaiz Farooq
El Templo de la Shisha S.L.,http://www.eltemplodelashisha.es,info@eltemplodelashisha.es,,Retail,Retailing,Shahwaiz Farooq
Ferreidea,http://www.ferreidea.com,informacion@ferreidea.com,,Retail,Specialty Retail,Shahwaiz Farooq
Estilo en rosa,http://www.estiloenrosa.com,info@estiloenrosa.com,,Retail,Retailing,Shahwaiz Farooq
La Casa de las Setas,http://www.lacasadelassetas.com,info@lacasadellassetas.com,,Retail,Retailing,Shahwaiz Farooq
Dismitor,http://www.dismitor.es,dismitorshop@dismitor.es,,Retail,Retailing,Shahwaiz Farooq
Vestuarios Rubio 2.0,http://www.vestuariosrubio.com,info@vestuariosrubio.com,,Retail,"Textiles, Apparel & Luxury Goods",Shahwaiz Farooq
Tony Zapatero,http://www.maletastony.com,info@maletastony.com,,Retail,"Textiles, Apparel & Luxury Goods",Shahwaiz Farooq
Ministry of Hobby,http://www.ministryofhobby.com,info@ministryofhobby.com,,Retail,Internet Software & Services,Shahwaiz Farooq
Herbalia,http://www.herbalia.es,info@herbalia.es,,Retail,Personal Products,Shahwaiz Farooq
MASQUECOSMETICA.COM ES LA TIENA ONLINE DE,http://www.masquecosmetica.net,tienda@masquecosmetica.net,,Retail,Cosmetics,Shahwaiz Farooq
THE LOUNGE VAPE SHOP,http://www.tlvscanarias.com,info@tlvscanarias.com,,Retail,"Kits,Pods",Salman Ahmed
Urly Flamenca,http://www.urlyflamenca.es,info@urlyflamenca.es,,Retail,Fashion and footwear,Salman Ahmed
Cultura de Flor,http://www.culturadeflor.com,orders@culturadeflor.com,,Retail,Flowers,Salman Ahmed
RIVAS IBERIAN SPANISH GROUP S.L.,http://www.ibericosrivas.es,info@ibericosrivas.es,,Retail,"Iberian chorizos, Iberian salchichon",Salman Ahmed
Jovi Joyeros,http://www.jovijoyeros.es,jovijoyeros@jovijoyeros.es,,Retail,"Women's jewelry,Watches",Salman Ahmed
Comprar Handpan,http://www.zena-drum.com,contact@zena-drum.com,,Retail,Music drum,Salman Ahmed
Cisland Sunglasses Canarias,http://www.cislandco.com,sunglasses@cislandco.com,,Retail,Sunglasses,Salman Ahmed
Moda infantil Samira,http://www.modainfantilsamira.com,modainfantilsamira@gmail.com,,Retail,Clothing,Salman Ahmed
JESUS ROVIRA SA,http://www.goumar.com,goumar@goumar.com,,Retail,ACCESSORIES,Salman Ahmed
Zapatonee,http://www.zapatonee.com,clients.zapatonee@gmail.com,,Retail,Fashion and footwear,Salman Ahmed
Puericultura Vallès,http://www.vallesonline.es,vallesonline@gmail.com,,Retail,"Basket Car,Toys",Salman Ahmed
Toys“R”Us Iberia SAU,http://www.toysrus.es,clientes@toysrus.es,,Retail,Toys,Salman Ahmed
Sol&Luna The Art of Leather,http://www.solxluna.com,solxluna@solxluna.com,,Retail,"Tables,Decore",Salman Ahmed
Juguetrónica,http://www.juguetronica.com,customerservice@juguetronica.com,,Retail,"PLASMA BALL,GLITTER LAMP",Salman Ahmed
"Cannelle, Especias y Tés",http://www.cannelle.es,cannelle@cannelle.es,,Retail,curries and mixes,Salman Ahmed
Sivana,http://www.sivanasleep.com,info@sivanasleep.com,,Retail,"Mattresses,Pillows,Bases",Salman Ahmed
The Lab Room,http://www.thelabroom.com,info@thelabroom.com,,Retail,"Body Bath,Face Products",Salman Ahmed
WeTKare,http://www.we-tkare.com,hello@we-tkare.com,,Retail,"TIENDA,Kit starter",Salman Ahmed
BIKES & BIKES MOTOCICLETAS SL,http://www.bikesandbikes.es,info@bybmotos.es,,Retail,Cycles and Bikes,Salman Ahmed
Big Child Creatives,http://www.bigchildcreatives.com,customerservice@bigchildcreatives.com,,Retail,Retailing,Salman Ahmed
Naranjas de la China SL,http://www.naranjasdelachina.com,info@naranjasdelachina.com,,Retail,Flowers and Gifts,Salman Ahmed
MEBLERO,http://www.meblero.com,info@meblero.com,,Retail,Sofas and Chairs,Salman Ahmed
Guitarras Ramírez,http://www.guitarrasramirez.com,amalia@guitarrasramirez.com,,Retail,Music Products,Salman Ahmed
Packawin,http://www.packawin.com,info@packawin.com,,Retail,Kitchen and plastic products,Salman Ahmed
BRUMALIS,http://www.brumalis.es,web@brumalis.ess,,Retail,Flowers and Gifts,Salman Ahmed
Desperate Literature Bookshop,http://www.desperateliterature.com,hello@desperateliterature.com,,Retail,"Gift Certificate,Bookland Passport",Salman Ahmed
Umanabrand,http://www.umanabrand.com,hello@umanabrand.com,,Retail,"apparel & fashion,Shoes",Salman Ahmed
THE TREE CBD,http://www.thetreecbd.com,info@thetreecbd.com,,Retail,Pharmaceuticals,Salman Ahmed
Atucom Barcelona,http://www.atucombarcelona.com,ventas@atucombarcelona.com,,Retail,Apparel and fashion,Salman Ahmed
Tot Bata,http://www.totbata.cat,totbata@totbata.cat,,Retail,Apparel and fashion,Salman Ahmed
Naikare,http://www.naikare.es,naikare@naikare.es,,Retail,Commercial Services & Supplies,Salman Ahmed
Pastelosofia,http://www.pastelosofia.com,info@pastelosofia.com,,Retail,Food & Staples Retailing,Salman Ahmed
Marina Grafeuille,http://www.marinagrafeuille.com,info@marinagrafeuille.com,,Retail,Apparel and fashion,Salman Ahmed
Flores internet,http://www.floresinternet.es,info@floresinternet.es,,Retail,Specialty Retail,Salman Ahmed
Moquetas para bodas,http://www.moquetasdelvalles.com,info@moquetasdelvalles.com,,Retail,Carpets,Salman Ahmed
Miguel Rodríguez,http://www.bolsosmiguel.es,miguel@miguelrodriguez.es,,Retail,Apparel and fashion,Salman Ahmed
Carrington Shoes,http://www.carringtonshoes.com,hola@carringtonshoes.com,,Retail,Apparel and fashion,Salman Ahmed
OfiGracia,http://www.ofigracia.es,info@ofigracia.es,,Retail,Commercial Services & Supplies,Salman Ahmed
Shooters Film Lab Barcelona. Tlf,http://www.shootersfilmlab.com,shooters@kitoli.com,,Retail,Household Durables,Salman Ahmed
Mundypiel,http://www.mundypiel.es,info@mundypiel.es,,Retail,Apparel and fashion,Salman Ahmed
Floristería Olimpia en Barcelona,http://www.floristeriaolimpia.com,olimpia@?oristeriaolimpia.com,,Retail,Specialty Retail,Salman Ahmed
Turquesh,http://www.turquesh.com,turquesh@gmail.com,,Retail,Retailing,Salman Ahmed
El Armario de Mimi,http://www.elarmariodemimi.es,info@elarmariodemimi.es,,Retail,Apparel and fashion,Salman Ahmed
McRoller,http://www.mcroller.com,mcroller@mcroller.com,,Retail,Leisure Products,Salman Ahmed
Marona de colors,http://www.maronadecolors.com,cristina@maronadecolors.com,,Retail,Family Services,Salman Ahmed
Forn de Pa Fortino,http://www.fornfortino.com,forn@fornfortino.com,,Retail,Food Products,Salman Ahmed
vinilos@metros,http://www.vinilosametros.com,info@vinilosametros.com,,Retail,Retailing,Salman Ahmed
ReyToner,http://www.reytoner.com,comercial@reytoner.com,,Retail,Commercial Services & Supplies,Salman Ahmed
Lamas Bolaño,http://www.lamasbolanosubastas.com,auctions@lamasbolano.com,,Retail,Specialty Retail,Salman Ahmed
Invictus Nutrici,http://www.invictusnutricion.com,invictus@invictusnutricion.com,,Retail,Health Care Providers & Services,Salman Ahmed
Manual Thinking,http://www.manualthinking.com,info@manualthinking.com,,Retail,Commercial Services & Supplies,Salman Ahmed
Gigamesh,http://www.gigamesh.com,contacto@gigamesh.com,,Retail,Media,Salman Ahmed
Atelier de Ballerinas,http://www.atelierdeballerinas.com,info@atelierdeballerinas.com,,Retail,Apparel and fashion,Salman Ahmed
Girls Seeds,http://www.girlsseeds.com,info@girlsseeds.com,,Retail,Retailing,Salman Ahmed
Malimbus Studio,http://www.malimbus.com,malimbus.arte@gmail.com,,Retail,Apparel and fashion,Salman Ahmed
Fiona's Atelier,http://www.fionasatelier.com,info@fionasatelier.com,,Retail,Specialty Retail,Salman Ahmed
Armand Òptics,http://www.armandoptics.com,centre@armandoptics.com,,Retail,Health Care Equipment & Supplies,Salman Ahmed
Nuclear by Design,http://www.nuclearbydesign.com,team@nuclearbydesign.com,,Retail,Apparel and fashion,Salman Ahmed
Lasastre,http://www.lasastre.com,info@lasastre.com,,Retail,Apparel & Fashion,Salman Ahmed
Santaló Candles,http://www.santalocandles.com,info@santalocandles.com,,Retail,candles for weddings,Waqas
PINTA EL MÓN,http://www.pintaelmon.com,pintaelmon@gmail.com,,Retail,Commercial Services & Supplies,Waqas
tumotorparapersianas.es,http://www.tumotorparapersianas.es,info@tumotorparapersianas.es,,Retail,MOTOR FOR BLINDS,Waqas
Nacana,http://www.nacana.com,info@nacana.com,,Retail,NoteBooks,Waqas
Tu Marca Original,http://www.tumarcaoriginal.com,comanda@tumarcaoriginal.com,,Retail,Apparel and fashion,Waqas
WERNER MUSICA,http://www.werner-musica.com,werner@werner-musica.com,,Retail,Household Durables,Waqas
Regalos promocionales Publiclick,http://www.publiclick.eu,comercial@publiclick.eu,,Retail,Media,Waqas
Danzarina Essentials,http://www.danzarina.net,info@danzarina.net,,Retail,Shoes,Waqas
Montse Iserte,http://www.montseiserte.com,info@montseiserte.com,,Retail,Retailing,Waqas
Orient Express Modelismo,http://www.orientexpressmodelismo.com,orientexpressmodelismo@gmail.com,,Retail,Leisure Products,Waqas
Grace Barcelona,http://www.gracebarcelona.es,wioletta@gracebarcelona.es,,Retail,Apparel & Fashion,Waqas
talk under light,http://www.talkunderlight.com,we@talkunderlight.com,,Retail,Apparel & Fashion,Waqas
Flamenco Solana y cortes,http://www.flamencosolanaycortes.es,flamenco@solanaycortes.com,,Retail,Apparel & Fashion,Waqas
CASA BARDELLA SL,http://www.casabardella.com,informacio@casabardella.com,,Retail,food and beverage,Waqas
Alianzas de acero,http://www.alianzasdeacero.es,info@alianzasdeacero.es,,Retail,Rings,Waqas
Laia Martin Make Up,http://www.laiamartinmakeup.com,hola@laiamartinmakeup.com,,Retail,Make Up,Waqas
Optica Sisquella,http://www.opticasisquella.com,info@opticasisquella.com,,Retail,SUNGLASSES,Waqas
Gata Cosmética Orgánica,http://www.gatacosmeticaorganica.com,hello@gatacosmeticaorganica.com,,Retail,Personal Products,Waqas
Bcn Iphone,http://www.bcniphone.com,info@bcniphone.com,,Retail,Communications Equipment,Waqas
Libros Jamsa,http://www.librosjamsa.com,info@librosjamsa.com,,Retail,Publish Book,Waqas
La Tienda de Alarcón,http://www.latiendadealarcon.com,soporte@peppermoney.es,,Retail,Specialty Retail,Waqas
Cosmoantic,http://www.cosmoantic.com,info@cosmoantic.com,,Retail,furniture stores,Waqas
La Besnéta,http://www.labesneta.com,daniela@labesneta.com,,Retail,Food & Staples Retailing,Waqas
NEW DELICATESSEN WORLD CENTER SL,http://www.aunomdelarose.es,info@aunomdelarose.es,,Retail,Fresh flowers,Waqas
Calçat Professional,http://www.calzadoprofesional.com,cxt@calzadoprofesional.com,,Retail,Apparel and fashion,Waqas
OhMyQuote,http://www.ohmyquote.com,info@ohmyquote.com,,Retail,Apparel and fashion,Waqas
Fins de Siècles,http://www.finsdesiecles-artdeco.com,contact@fdsartdeco.com,,Retail,Consumer Discretionary,Waqas
Bausa Flors Barcelona,http://www.bausaflors.barcelona,bausaflors@hotmail.com,,Retail,Fresh flowers,Waqas
Con V de Vero CC,http://www.convdevero.com,hello@convdevero.com,,Retail,"Hotels, Restaurants & Leisure",Waqas
Biciclot,http://www.biciclot.coop,info@biciclot.coop,,Retail,Diversified Consumer Services,Waqas
SUPaddict paddlesurf school Bcn,http://www.supaddict.es,support@supaddict.es,,Retail,Diversified Consumer Services,Waqas
Ro the label,http://www.rothelabel.com,info@rothelabel.com,,Retail,Apparel and fashion,Waqas
Cero Residuo,http://www.ceroresiduo.com,info@ceroresiduo.com,,Retail,Internet Software & Services,Waqas
COCOLISO Kids Concept Store,http://www.cocolisoshop.com,info@cocolisoshop.com,,Retail,Apparel and fashion,Waqas
ENFOCA,http://www.enfoca.cat,info@enfoca.cat,,Retail,Industrials,Waqas
Sensitive CBD,http://www.sensitivecbd.com,info@sensitivecbd.com,,Retail,Pharmaceuticals,Waqas
"RAIMA La Carpeta i el Paper, S.A.",http://www.raima.cat,info@raima.cat,,Retail,Commercial Services & Supplies,Waqas
Tucantex Textile,http://www.tucantex.com,info@tucantex.com,,textiles,Apparel and fashion,Waqas
Primate Bakehouse,http://www.primatebakehouse.es,hello@primatebakehouse.es,,Retail,Food & Staples Retailing,Waqas
Rosanna de la Riva,http://www.rosannadelariva.com,info@rosannabarcelona.com,,Retail,Apparel and fashion,Waqas
www.rockillos.com,http://www.rockillos.com,tienda@rockillos.com,,Retail,Apparel & Fashion,Waqas
NAVIGUM SL,http://www.navigum.com,navigum@navigum.com,,Retail,jewelry,Waqas
Wonder Photo,http://www.wonderphotoshop.es,wondercallao@wonderphotoshop.es,,Retail,Specialty Retail,Waqas
"ZAPAORI, la zapatería más original del mercado",http://www.zapaori.com,infozapaori@gmail.com,,Retail,Apparel & Fashion,Waqas
Bornisimo,http://www.bornisimo.com,info@bornisimo.com,,Retail,Apparel and fashion,Waqas
Criloma,http://www.criloma.com,info@criloma.com,,Retail,Consumer Goods,Waqas
Kidani Complements,http://www.kidanicomplements.com,info@kidanicomplements.com,,Retail,Apparel and fashion,Waqas
Ilovekutchi,http://www.ilovekutchi.com,info@ilovekutchi.com,,Retail,Apparel and fashion,Waqas
Farmacia Nuria Santigosa,http://www.farmaciansantigosa.com,info@farmaciansantigosa.com,,Retail,Health Care Providers & Services,Asim Safder
CasaCaprichos,http://www.casacaprichos.com,info@casacaprichos.com,,Retail,Apparel and fashion,Asim Safder
Futon Llit,http://www.futonllit.com,info@futonllit.com,,Retail,Specialty Retail,Asim Safder
Garden en Casa,http://www.gardenencasa.es,clients@gardenencasa.es,,Retail,Roses for winter planting,Asim Safder
RIERA & ROIGE SL,http://www.motissimo.es,sales@motissimo.es,,Retail,Automotive,Asim Safder
MARTBERT,http://www.martbert.es,info@martbert.com,,Retail,furniture,Asim Safder
Revólver Records,http://www.revolverrecords.es,info@revolverrecords.es,,Retail,Second hand store,Asim Safder
En Ekotrebol,http://www.ekotrebol.es,info@ekotrebol.es,,Retail,Food & Staples Retailing,Asim Safder
Jkasian Foods. Tienda,http://www.jkasianfoods.com,orders@jkfood.es,,Retail,Food & Staples Retailing,Asim Safder
Foodcoop BCN,http://www.foodcoopbcn.cat,hola@foodcoopbcn.cat,,Retail,Food & Staples Retailing,Asim Safder
Ecometas,http://www.ecometas.com,sandra@ecometas.com,,textiles,Apparel and fashion,Asim Safder
Ferent,http://www.ferent.shop,hello@ferent.shop,,Retail,Apparel and fashion,Asim Safder
ROEX ( Roller Experience ),http://www.roex.es,info@roex.es,,Retail,Apparel and fashion,Asim Safder
Kambio Eyewear,http://www.kambioeyewear.com,info@kambioeyewear.com,,Retail,Apparel and fashion,Asim Safder
Suit beibi,http://www.suitbeibi.com,shoponline@suitbeibi.com,,Retail,Apparel and fashion,Asim Safder
Minoxidil Spain,http://www.minoxidilkirkland.es,clients@minoxidilespana.es,,Retail,BEARD Oil,Asim Safder
Que viene el Lobo,http://www.quevieneellobo.com,info@lacabanyeta.com,,Retail,Food & Staples Retailing,Asim Safder
NOD COLLECTIONS,http://www.nodcollections.com,hello@nodcollections.com,,Retail,Apparel and fashion,Asim Safder
Drogueria Rovira,http://www.drogueriarovira.com,correo@drogueriarovira.com,,Retail,Health Care Providers & Services,Asim Safder
Revista Guaraguao,http://www.revistaguaraguao.es,direccion@revistaguaraguao.es,,Retail,Books,Asim Safder
mimerkado.com,http://www.mimerkado.com,hola@mimerkado.com,,Retail,Second hand store,Asim Safder
BER.SUS,http://www.bersus.com.es,hello@bersus.com.es,,Retail,Apparel and fashion,Asim Safder
Zanah Pasteles,http://www.zanahpasteles.com,hola@zanahpasteles.com,,Retail,Food & Backery,Asim Safder
Salvadó Mallol,http://www.mallol.com,,verdi@mallol.com,Retail,Jewelry,Asim Safder
Farmacia Regomir,http://www.farmaciaregomir.com,farmaciaparicio@cofb.net,,Retail,Cosmetic,Asim Safder
Paraguas Vogue Brand,http://www.paraguas.es,clima@clima.es,,Retail,Apparel and fashion,Asim Safder
Kit de Kids,http://www.kitdekids.com,hola@kitdekids.com,,Retail,Apparel and fashion,Asim Safder
CV Primary Essence,http://www.cvcosmetics.eu,info@cvcosmeticavital.com,,Retail,Cosmetic,Asim Safder
TuElectrodoméstico,http://www.tuelectrodomestico.es,contacto@tuelectrodomestico.es,,Retail,Electrical Products,Asim Safder
Enric Rosich,http://www.enricrosich.com,info@enricrosich.com,,Retail,Food & Backery,Asim Safder
La Hojalatería,http://www.lahojalateria.es,info@lahojalateria.es,,Retail,Metal Manufacturing Product,Asim Safder
Pescaworld,http://www.pescaworld.com,info@pescaworld.com,,Retail,Fish Hunting Product,Asim Safder
Electro YA,http://www.electroya.com,info@electroya.com,,Retail,Computer Electrical Products,Asim Safder
Lloveras Barceló,http://www.florslloveras.com,info@florslloveras.com,,Retail,Fresh Plant,Asim Safder
Rodats Escuela de Patinaje,http://www.rodats.com,info@rodats.com,,Retail,Shose,Asim Safder
Pinza’t,http://www.pinzat.com,info@pinzat.com,,Retail,Apparel and fashion & Bag,Asim Safder
Zapatos Charo,http://www.zapatoscharo.com,zapatoscharo@gmail.com,,Retail,Shose,Asim Safder
Farmacia M. Angels Comas,http://www.farmaciacomas.com,,farmacia@farmaciacomas.com,Retail,Pahrna & Medical,Asim Safder
Filatelia Julio Haeffner,http://www.filateliahaeffner.com,info@filateliahaeffner.com,,Retail,Gov Stemp Ticket,Asim Safder
SKARRA MUCCI,http://www.skarramucci.com,booking@skarramucci.com,,Retail,Music Cd Player,Asim Safder
Revelab Studio,http://www.revelab.es,info@revelab.es,,Retail,Analogue Development,Asim Safder
Santa Cafeïna,http://www.santacafeina.cat,info@santacafeina.cat,,Retail,Food & Backery,Asim Safder
Nopal Oil,http://www.nopaloil.com,info@nopaloil.com,,Retail,Cosmetic Skin Care Product,Asim Safder
Balart Nuvies - vestidos de novia y organización de bodas,http://www.balartnuvies.com,info@balartnuvies.com,,Retail,Apparel and fashion,Asim Safder
La Científica,http://www.lacientifica.com,info@lacientifica.com,,Retail,Lab Product,Asim Safder
Emoveyou / Electric Bikes & Scooters,http://www.emoveyou.com,barcelona@emoveyou.com,,Retail,Bicycles,Asim Safder
JEAN PIERRE BUA S.A.,http://www.jeanpierrebua.com,eshop@jeanpierrebua.com,,Retail,Apparel and fashion,Asim Safder
El Bosque Esencial,http://www.elbosquesencial.com,info@elbosquesencial.com,,Retail,Oils,Asim Safder
Cereria Subirà,http://www.cereriasubira.cat,info@cereriasubira.cat,,Retail,Candles,Asim Safder
La Plantisserie,http://www.laplantisserie.com,carlota@laplantisserie.com,,Retail,Plants,Asim Safder
Farmacia Martí Tor,http://www.farmaciamartitor.es,pedidos@martitor.es,,Retail,Pharmacy or Medical Products,Asim Safder
The Paradise Corner,http://www.theparadisecorner.com,hello@theparadisecorner.com,,Retail,Appliance,Asim Safder
Montnegre Caravan,http://www.montnegrecaravan.com,info@montnegrecaravan.com,,Retail,Automotive Products,Asim Safder
Formma Design,http://www.formmadesign.com,info@formmadesign.com,,Retail,"Limecoat Lime coating, Limestone Stone Cladding, Lineatelier (coming soon)",Asim Safder
Flow Barcelona,http://www.flow.barcelona,theflowlab.bcn@gmail.com,,Retail,Plumbing glossary,Asim Safder
Zapicables,http://www.zapicables.es,info@zapicables.es,,Retail,Automotive Products,Asim Safder
Guitar Shop Barcelona,http://www.guitarshop.es,guitarshop@guitarshop.es,,Retail,Musical Instruments,Asim Safder
ELIS prêt-à-porter,http://www.elisbarcelona.com,info@elisbarcelona.com,,Retail,Apparel and fashion,Asim Safder
Cotton Paper,http://www.cottonpaper.es,maria@cottonpaper.es,,Retail,Stationary,Asim Safder
Farmacia Ros de Olano,http://www.farmaciarosdeolano.com,farmaciarosdeolano@gmail.com,,Retail,Pharmacy or Medical Products,Asim Safder
Catsacks Barcelona,http://www.catsacksbarcelona.eu,info@catsacks.eu,,Retail,Bags,Asim Safder
Dolce Vita Outlet,http://www.dolcevitaboutique.es,info@dolcevitaboutique.es,,Retail,Apparel and fashion,Asim Safder
Soley Boquería,http://www.soleyboqueria.com,jsoley72@gmail.com,,Retail,Food and Beverages,Asim Safder
FontDirect,http://www.fontdirect.com,info@grandfontaine.eu,,Retail,Pharmacy or Medical Products,Asim Safder
Vestidos de comunión Aliana,http://www.alianacomunion.com,info@alianacomunion.com,,Retail,Kids Clothing,Asim Safder
Ducati Barcelona,http://www.ducatibarcelona.com,info@ducatibarcelona.com,,Retail,Motorbikes,Asim Safder
ecoxstar,http://www.movewheel.es,ecoxstar@gmail.com,,Retail,Electric Scooty,Asim Safder
El Gat Pelut,http://www.elgatpelut.cat,info@elgatpelut.cat,,Retail,Books and Novels,Asim Safder
Hueso Colorado Studio,http://www.huesocoloradostudio.com,hola@huesocoloradostudio.com,,Retail,Apparel and fashion,Asim Safder
Happy Cargo Bike,http://www.happycargobike.com,bike@happycargobike.com,,Retail,Bicycles,Asim Safder
Pau Tena Ciclisme,http://www.clementinabicicleta.com,info@clementinabicicleta.com,,Retail,Bicycles,Asim Safder
Loval Antiques,http://www.lovalantiques.com,info@lovalantiques.com,,Retail,Decoration Products,Asim Safder
Salón Selección,http://www.salonseleccion.com,info@salonseleccion.com,,Retail,Cosmetics,Asim Safder
Muebles Industria,http://www.mueblesindustria.com,info@mueblesindustria.com,,Retail,Furniture & Matresses,Asim Safder
Donde Reparar Patinete Eléctrico,http://www.donderepararpatineteelectrico.com,jbartulos@sbdinternet.com,,Retail,Scooties,Asim Safder
Dancing Vinyl,http://www.dancingvinyl.com,contact@dancingvinyl.com,,Retail,Home & Appliance,Asim Safder
Instrument Rental,http://www.shinemusicrental.com,info@shinemusicrental.com,,Retail,Musical Instruments,Asim Safder
Iguapop Shop,http://www.iguapopshop.com,info@iguapopshop.com,,Retail,Apparel and fashion,Asim Safder
Vallès Rugby,http://www.vallesrugby.com,info@vallesrugby.com,,Retail,Clothing,Asim Safder
Mater Ceramics,http://www.materceramics.com,hi@materceramics.com,,Retail,Decoration & Kitchen Products,Asim Safder
ANDREA VIÊNTËC shop | atelier,http://www.andreavientec.com,contact@andreavientec.com,,Retail,Caps,Asim Safder
ALI-BEY nens,http://www.alibeynens.com,info@alibeynens.com,,Retail,Baby Products,Asim Safder
Vagary Kalon,http://www.vagarykalon.com,universe@vagarykalon.com,,Retail,Archive Collection · Talismanic Collection · Venus Collection,Asim Safder
Usar y reusar,http://www.usaryreusar.com,info@usaryreusar.com,,Retail,bath and body products,Asim Safder
XUXES COMPANY,http://www.xuxes.store,xuxescbd@gmail.com,,Retail,"Flowers, Packs, Hash, Popcorn, Oils",Asim Safder
XIUXIU,http://www.xiuxiu.cat,,anna@xiuxiu.cat,Retail,"Love Gifts, Birthday Gifts, Babies Gifts, Wedding Gifts",Asim Safder
Juia Jewels,http://www.juiajewels.com,info@juiajewels.com,,Retail,Jewelry,Farhan
Maemuki Shop,http://www.maemukishop.com,hola@maemuki.com,,Retail,Bracelets and Necklaces,Farhan
Pit Stop,http://www.reparartupatinete.com,hola@reparartupatinete.com,,Retail,Scooties,Farhan
Augusto Lignano Boutique,http://www.augustolignanoboutique.com,augustolignanoboutique@yahoo.es,,Retail,Apparel and fashion,Farhan
Gargot,http://www.gargot.cat,info@gargot.cat,,Retail,Artifical Plants,Farhan
lucanni,http://www.lucanni.com,comunicacion@chantelet.com,,Retail,Cosmetics,Farhan
XXL Hardwear,http://www.xxlhardwear.com,sales.xxlhardwear@gmail.com,,Retail,"Bracelets, Silver Collection, wallet chain, Rings, Accessories, Necklaces, Saltpeter (Woman), La Guarida",Farhan
